code,setcode,data,open,high,low,close,volume,amount,name,unit
000300,62,20260817,4672.28,4742.40,4662.72,4741.10,190569280,657601724416000000,沪深300,1
000300,62,20260818,4734.07,4744.01,4687.53,4725.81,204245520,619828740096000000,沪深300,1
000300,62,20260819,4660.06,4674.38,4568.07,4588.70,244070096,705253474304000000,沪深300,1
000300,62,20260820,4613.30,4631.13,4569.23,4592.75,200874192,554021093376000000,沪深300,1
000300,62,20260821,4585.44,4629.00,4579.26,4618.90,171075888,505501089792000000,沪深300,1
