Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-06T23:00:00.000Z,1.1538449526,1.154466033,1.1532269716,1.1538079977,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-07T23:00:00.000Z,1.1541520357,1.1544729471,1.1532620192,1.1541539431,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-08T23:00:00.000Z,1.1521780491,1.1524100304,1.1513810158,1.1521199942,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-09T23:00:00.000Z,1.1535249949,1.1549500227,1.1531020403,1.1535500288,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-12T23:00:00.000Z,1.1566450596,1.156998992,1.1561239958,1.1567610502,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-13T23:00:00.000Z,1.1557420492,1.1566729546,1.1553280354,1.1558259726,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-14T23:00:00.000Z,1.1573940516,1.1580970287,1.1570119858,1.157556057,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-15T23:00:00.000Z,1.1577039957,1.1584390402,1.1573699713,1.1579129696,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-16T23:00:00.000Z,1.1573810577,1.157755971,1.1570409536,1.1574720144,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-19T23:00:00.000Z,1.1573959589,1.1578569412,1.1570390463,1.1574510336,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-20T23:00:00.000Z,1.1574809551,1.1579999924,1.1570990086,1.1575069427,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-21T23:00:00.000Z,1.1586159468,1.1590399742,1.1582070589,1.1589380503,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-22T23:00:00.000Z,1.157580018,1.1579539776,1.1570589542,1.1574109793,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-23T23:00:00.000Z,1.1572740078,1.1586680412,1.1572740078,1.1576219797,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-26T23:00:00.000Z,1.1580899954,1.1582030058,1.1573879719,1.1578979492,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-27T23:00:00.000Z,1.1587610245,1.1592320204,1.1584780216,1.1586990356,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-28T23:00:00.000Z,1.1577689648,1.1584539413,1.157654047,1.1579099894,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-29T23:00:00.000Z,1.1589390039,1.1597700119,1.158575058,1.1589430571,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-07-30T23:00:00.000Z,1.1609499454,1.1616059542,1.1603189707,1.1609450579,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-08-02T23:00:00.000Z,1.1612459421,1.1618880033,1.1609790325,1.1615799665,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-08-03T23:00:00.000Z,1.1613010168,1.1617950201,1.1608819962,1.1610649824,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-08-04T23:00:00.000Z,1.1611659527,1.1616590023,1.1608519554,1.1611469984,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-08-05T23:00:00.000Z,1.1619290113,1.1623870134,1.1614630222,1.1619360447,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
2026-08-06T23:00:00.000Z,1.1618000269,1.1622999907,1.160400033,1.1613999605,0,0.0,0.0,CNYHKD=X,NA,NA,HKD
