title,time,url,source,summary,code,setcode,name
中国平安2026年中期报告,2026-08-21 00:00:00,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-21/601318_20260821_9DJ8.pdf,上交所,"公司信息 法定名称                     邮政编码 中文╱英文全称                    518033 中国平安保险（集团）股份有限公司 Ping An Insurance (Group) Company of China, Ltd. 公司网址 www.pingan.cn 中文╱英文简称 中国平安 Ping An指定的A股信息披露媒体",601318,1,中国平安
中国平安第十三届董事会第十五次会议决议公告,2026-08-21 00:00:00,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-21/601318_20260821_JMK4.pdf,上交所,"证券代码：601318  证券简称：中国平安 公告编号：临 2026-025 中国平安保险（集团）股份有限公司 第十三届董事会第十五次会议决议公告
  中国平安保险（集团）股份有限公司（以下简称“本公司”或“公司”）董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
本公司第十三届董事会第十五次会议",601318,1,中国平安
中国平安内幕信息知情人登记管理规定（2026版）,2026-08-21 00:00:00,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-21/601318_20260821_7RPN.pdf,上交所,注 5：填写内幕信息所处阶段，如商议筹划、论证咨询、签订合同、公司内部的报告、传递、编制、审核、决议、披露等。 注 6：如为公司登记，填写公司登记人名字；如为公司汇总，保留所汇总表格中原登记人的姓名。 附件 2：中国平安重大事项进程备忘录 中国平安重大事项进程备忘录 证券简称：中国平安            公司代码：601318 所涉重大事项简述：         （注 1）        报备,601318,1,中国平安
中国平安2026年中期报告摘要,2026-08-21 00:00:00,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-21/601318_20260821_6C1J.pdf,上交所,"1.4 公司简介 1.4 公司简介(1-1)
  股票简称  中国平安
  股票代码  A股：601318  H股：02318（港币柜台）82318（人民币柜台）
  股票上市交易所  A股：上海证券交易所  H股：香港联合交易所有限公司
  联系人和联系方式  董事会秘书  证券事务代表
  姓名  盛瑞生  沈潇潇",601318,1,中国平安
中国平安信息披露暂缓与豁免事务管理制度（2026版）,2026-08-21 00:00:00,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-08-21/601318_20260821_FDOP.pdf,上交所,中国平安保险（集团）股份有限公司 信息披露暂缓与豁免事务管理制度（2026 版） 第一条  为了规范中国平安保险（集团）股份有限公司 （以下简称“本公司”）信息披露暂缓、豁免程序，保证本公司依法及合规履行信息披露义务，根据《中华人民共和国证券法》《上市公司信息披露管理办法》《上市公司信息披露暂缓与豁免管理规定》,601318,1,中国平安
