title,time,url,source,summary,code,setcode,name
埃斯顿：关于公司完成工商变更登记及章程备案的公告,2026-08-22 00:00:00,http://disc.static.szse.cn/disc/disk03/finalpage/2026-08-22/b17c1e4b-affa-44b1-8195-8a40b787d42a.PDF,深交所,"股票代码：002747      股票简称：埃斯顿     公告编号：2026-061号 南京埃斯顿自动化股份有限公司 关于公司完成工商变更登记及章程备案的公告
  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
南京埃斯顿自动化股份有限公司（以下简称“公司”）于 2026 年 4 月 29日、2026 年 5月 21日",002747,0,埃斯顿
埃斯顿：2026年半年度非经营性资金占用及其他关联资金往来情况汇总表,2026-08-22 00:00:00,http://disc.static.szse.cn/disc/disk03/finalpage/2026-08-22/f6e81b3e-ea6a-4672-8ba6-516a8a7e1824.PDF,深交所,"南京埃斯顿自动化股份有限公司 2026 年半年度非经营性资金占用及其他关联资金往来情况汇总表 编制单位：南京埃斯顿自动化股份有限公司                                          单位：万元
  非经营性资金占用  资金占用方名称  占用方与上市公司的关联关系  上市公司核算的会计科目  2026 年期初占用资金余额",002747,0,埃斯顿
埃斯顿：关于2026年半年度计提资产减值准备及确认公允价值变动损益的公告,2026-08-22 00:00:00,http://disc.static.szse.cn/disc/disk03/finalpage/2026-08-22/c48f13b8-48bb-41e4-89ec-9182a45fec7a.PDF,深交所,"股票代码：002747     股票简称：埃斯顿     公告编号：2026-060号 南京埃斯顿自动化股份有限公司 关于 2026 年半年度计提资产减值准备及确认公允价值变动损益 的公告
  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
南京埃斯顿自动化股份有限公司（以下简称“公司”）根据《企业会计准则》 《深圳证券交易所股票上市规则》",002747,0,埃斯顿
埃斯顿：2026年半年度报告摘要,2026-08-22 00:00:00,http://disc.static.szse.cn/disc/disk03/finalpage/2026-08-22/b4a30829-ee93-40a3-a77e-7731764a9a66.PDF,深交所,"证券代码：002747           证券简称：埃斯顿          公告编号：2026-059 号 南京埃斯顿自动化股份有限公司 2026 年半年度报告摘要 一、重要提示 本半年度报告摘要来自半年度报告全文，为全面了解本公司的经营成果、财务状况及未来发展规划，投资者应当到证监会指定媒体仔细阅读半年度报告全文。 所有董事均已出席了审议本报告的董事会会议。 非标准审计意见提示",002747,0,埃斯顿
埃斯顿：第六届董事会第四次会议决议公告,2026-08-22 00:00:00,http://disc.static.szse.cn/disc/disk03/finalpage/2026-08-22/47b930a1-448a-4d19-8ff7-90e1114c1b6b.PDF,深交所,"股票代码：002747      股票简称：埃斯顿     公告编号：2026-058号 南京埃斯顿自动化股份有限公司 第六届董事会第四次会议决议公告
  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
南京埃斯顿自动化股份有限公司（以下简称“公司”）第六届董事会第四次 会通知于 2026 年 8 月 7 日以电话、邮件等方式发出",002747,0,埃斯顿
