code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
600531,1,20260810,13.80,14.01,13.58,13.90,736094.32,1014469376,豫光金铅,4,0,100
600531,1,20260811,13.95,14.70,13.59,13.62,1110838.88,1569298688,豫光金铅,4,0,100
600531,1,20260812,13.68,14.02,13.53,13.78,692924.32,955215360,豫光金铅,4,0,100
600531,1,20260813,13.75,13.96,13.16,13.17,672902.56,908743296,豫光金铅,4,0,100
600531,1,20260814,13.11,13.27,12.81,13.05,469512.16,612266624,豫光金铅,4,0,100
600531,1,20260817,13.35,13.53,13.28,13.52,442937.64,593745536,豫光金铅,4,0,100
600531,1,20260818,13.50,13.69,13.19,13.36,373513.96,500443808,豫光金铅,4,0,100
600531,1,20260819,12.97,13.20,12.70,12.81,396248.48,513048256,豫光金铅,4,0,100
600531,1,20260820,13.33,13.69,12.96,13.09,600570.56,804121344,豫光金铅,4,0,100
600531,1,20260821,13.23,13.97,13.03,13.90,906532.08,1237244544,豫光金铅,4,0,100
