code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
603605,1,20260810,57.79,59.60,57.46,59.03,62864.84,369959488,珀莱雅,4,0,100
603605,1,20260811,59.10,60.96,58.52,58.89,63502.96,379299392,珀莱雅,4,0,100
603605,1,20260812,58.70,59.87,58.41,58.88,32799.84,193806272,珀莱雅,4,0,100
603605,1,20260813,58.62,59.36,58.30,58.53,37339.44,219571200,珀莱雅,4,0,100
603605,1,20260814,58.38,58.53,56.96,57.18,52406.75,301582624,珀莱雅,4,0,100
603605,1,20260817,57.00,57.00,55.96,56.87,50372.18,284190240,珀莱雅,4,0,100
603605,1,20260818,56.79,57.25,56.32,56.70,25648.33,145178368,珀莱雅,4,0,100
603605,1,20260819,56.71,57.47,55.53,55.64,54733.50,307678432,珀莱雅,4,0,100
603605,1,20260820,56.01,58.19,56.01,57.39,61286.34,351276768,珀莱雅,4,0,100
603605,1,20260821,57.70,57.71,56.80,57.00,25071.38,143003088,珀莱雅,4,0,100
