code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
002714,0,20260810,38.84,40.30,38.80,40.24,909878.40,3633100544,牧原股份,4,0,100
002714,0,20260811,40.26,40.79,40.00,40.11,498983.20,2011139584,牧原股份,4,0,100
002714,0,20260812,40.00,40.44,39.82,39.93,370196.48,1481939712,牧原股份,4,0,100
002714,0,20260813,39.95,40.36,39.57,40.15,385345.56,1541256960,牧原股份,4,0,100
002714,0,20260814,40.00,40.10,39.03,39.29,441048.04,1738833024,牧原股份,4,0,100
002714,0,20260817,39.60,40.04,38.91,39.29,449774.88,1768487552,牧原股份,4,0,100
002714,0,20260818,39.35,40.14,39.29,39.93,594923.16,2370625792,牧原股份,4,0,100
002714,0,20260819,40.12,40.18,38.80,38.84,504628.76,1979553408,牧原股份,4,0,100
002714,0,20260820,38.83,39.90,38.77,39.82,509421.80,2008249984,牧原股份,4,0,100
002714,0,20260821,39.56,39.92,39.03,39.07,368899.92,1449569536,牧原股份,4,0,100
