code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
002747,0,20260810,35.50,35.83,33.96,34.63,595749.28,2053254656,埃斯顿,4,0,100
002747,0,20260811,34.38,36.62,33.90,36.12,970399.12,3438625024,埃斯顿,4,0,100
002747,0,20260812,35.61,35.65,34.64,34.71,772192.32,2694307584,埃斯顿,4,0,100
002747,0,20260813,34.71,36.07,34.33,34.67,722799.92,2547514368,埃斯顿,4,0,100
002747,0,20260814,34.65,34.92,33.84,34.75,519355.64,1784665088,埃斯顿,4,0,100
002747,0,20260817,34.80,36.40,34.45,36.40,663452.88,2355092480,埃斯顿,4,0,100
002747,0,20260818,36.40,40.04,35.88,40.04,1215141.60,4528055808,埃斯顿,4,0,100
002747,0,20260819,38.00,38.00,36.04,36.04,666524.04,2424422656,埃斯顿,4,0,100
002747,0,20260820,35.00,35.68,32.47,32.77,834015.84,2794842368,埃斯顿,4,0,100
002747,0,20260821,32.88,33.97,32.27,33.57,533989.76,1776850944,埃斯顿,4,0,100
