code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
603697,1,20260810,9.75,10.19,9.71,10.12,66755.00,67122272,有友食品,4,0,100
603697,1,20260811,10.01,10.20,9.96,10.02,63648.20,64231408,有友食品,4,0,100
603697,1,20260812,10.01,10.17,9.87,10.08,52174.20,52395728,有友食品,4,0,100
603697,1,20260813,10.05,10.19,9.92,10.06,51466.40,51756072,有友食品,4,0,100
603697,1,20260814,10.10,10.10,9.56,9.63,85619.40,83014768,有友食品,4,0,100
603697,1,20260817,9.63,9.72,9.26,9.64,111485.80,105882992,有友食品,4,0,100
603697,1,20260818,9.65,9.92,9.62,9.89,92549.58,90961984,有友食品,4,0,100
603697,1,20260819,9.89,9.89,9.45,9.46,71864.40,68656216,有友食品,4,0,100
603697,1,20260820,9.48,9.52,9.34,9.46,38113.80,35900976,有友食品,4,0,100
603697,1,20260821,9.39,9.41,9.12,9.26,54422.93,50212016,有友食品,4,0,100
