code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
603288,1,20260810,36.36,37.12,36.20,36.78,185713.58,684325120,海天味业,4,0,100
603288,1,20260811,36.77,36.92,36.13,36.17,167361.97,610351744,海天味业,4,0,100
603288,1,20260812,36.20,36.37,35.70,36.24,98971.05,357726432,海天味业,4,0,100
603288,1,20260813,36.20,36.33,35.98,36.20,111087.86,401760512,海天味业,4,0,100
603288,1,20260814,36.17,36.17,35.75,35.82,93293.66,334622912,海天味业,4,0,100
603288,1,20260817,35.65,35.80,35.20,35.42,137544.09,487432448,海天味业,4,0,100
603288,1,20260818,35.42,35.69,35.26,35.55,109554.11,388317856,海天味业,4,0,100
603288,1,20260819,35.57,35.80,35.14,35.32,100083.88,353662400,海天味业,4,0,100
603288,1,20260820,35.30,35.88,35.27,35.75,108396.21,386494976,海天味业,4,0,100
603288,1,20260821,35.58,35.69,34.65,35.05,160639.29,562650496,海天味业,4,0,100
