code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
002557,0,20260810,19.34,19.98,19.30,19.60,101944.42,200910480,洽洽食品,4,0,100
002557,0,20260811,19.66,19.96,19.55,19.62,79329.50,156522080,洽洽食品,4,0,100
002557,0,20260812,19.44,19.52,19.14,19.41,110768.93,213853152,洽洽食品,4,0,100
002557,0,20260813,19.39,19.53,19.26,19.36,73701.29,142866048,洽洽食品,4,0,100
002557,0,20260814,19.34,19.34,18.92,18.97,79327.93,151124560,洽洽食品,4,0,100
002557,0,20260817,18.86,19.10,18.73,19.09,66442.08,125837528,洽洽食品,4,0,100
002557,0,20260818,19.06,19.26,18.93,19.14,63352.61,120996896,洽洽食品,4,0,100
002557,0,20260819,19.17,19.20,18.69,18.81,63629.21,120030752,洽洽食品,4,0,100
002557,0,20260820,18.81,18.98,18.70,18.82,50336.56,94933776,洽洽食品,4,0,100
002557,0,20260821,18.82,18.84,18.46,18.55,56211.25,104449032,洽洽食品,4,0,100
