code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
600029,1,20260810,5.12,5.16,5.10,5.15,604156.36,310216768,南方航空,4,0,100
600029,1,20260811,5.12,5.15,5.05,5.05,998771.36,507782976,南方航空,4,0,100
600029,1,20260812,5.05,5.08,5.05,5.07,533512.00,270049120,南方航空,4,0,100
600029,1,20260813,5.08,5.09,5.04,5.05,433957.56,219702272,南方航空,4,0,100
600029,1,20260814,5.05,5.06,5.02,5.02,438056.44,220247312,南方航空,4,0,100
600029,1,20260817,5.03,5.03,5.01,5.03,436751.36,219136304,南方航空,4,0,100
600029,1,20260818,5.01,5.02,5.00,5.01,392261.00,196525248,南方航空,4,0,100
600029,1,20260819,5.00,5.02,4.98,4.99,599969.00,299698496,南方航空,4,0,100
600029,1,20260820,5.00,5.03,4.99,5.03,385325.40,193294960,南方航空,4,0,100
600029,1,20260821,5.01,5.01,4.98,4.99,389687.52,194566384,南方航空,4,0,100
