code,setcode,data,open,high,low,close,volume,amount,name,period,tqflag,unit
601318,1,20260810,53.28,53.66,53.20,53.32,595323.20,3178152704,中国平安,4,0,100
601318,1,20260811,53.30,53.44,52.50,52.55,646895.20,3413185536,中国平安,4,0,100
601318,1,20260812,52.50,52.92,52.21,52.60,532104.20,2794422528,中国平安,4,0,100
601318,1,20260813,52.49,52.98,52.31,52.80,524006.44,2760533760,中国平安,4,0,100
601318,1,20260814,52.67,52.77,51.75,51.75,642787.52,3345853696,中国平安,4,0,100
601318,1,20260817,51.75,51.99,51.51,51.80,502143.36,2599855104,中国平安,4,0,100
601318,1,20260818,51.80,51.84,51.17,51.32,578999.68,2975702784,中国平安,4,0,100
601318,1,20260819,51.66,52.08,51.28,52.08,789826.00,4086762752,中国平安,4,0,100
601318,1,20260820,51.85,52.15,51.60,52.14,495295.44,2570824192,中国平安,4,0,100
601318,1,20260821,53.01,53.59,52.80,53.35,1115990.32,5940991488,中国平安,4,0,100
