ths_fore_np_fy1_stock,ths_fore_np_fy2_stock,ths_fore_np_fy3_stock,ths_fore_np_in12m_stock,ths_fore_np_yoy_stock,ths_fore_mbi_fy1_stock,ths_fore_mbi_fy2_stock,ths_fore_mbi_fy3_stock,ths_fore_mbi_yoy_stock,thscode,time,ths_pe_lyr_stock,ths_peg_lyr_stock,ths_pb_mrq_stock,ths_ps_lyr_stock,ths_dividend_rate_stock_stock,ths_per_lyr_stock
1256966411.0714,1709935426.7143,2013928571.4286,1539916919.473,-8.9193359945641,22256000000.0,24444846153.846,26434928571.429,10.756780449394,002299.SZ,,,,,,,
,,,,,,,,,002299.SZ,,14.525388483415,0.16042112613178,1.7471898617331,0.99758164827723,,20.529263750223
