Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-08-13T16:00:00.000Z,4179.9702148438,4220.3100585938,4165.9399414062,4173.3100585938,221100,0.0,0.0,000300.SS,NA,NA,NA
2025-08-14T16:00:00.000Z,4162.419921875,4214.7299804688,4157.5,4202.3500976562,261300,0.0,0.0,000300.SS,NA,NA,NA
2025-08-17T16:00:00.000Z,4218.25,4272.9599609375,4203.419921875,4239.41015625,301500,0.0,0.0,000300.SS,NA,NA,NA
2025-08-18T16:00:00.000Z,4241.7700195312,4264.2299804688,4215.2099609375,4223.3701171875,250800,0.0,0.0,000300.SS,NA,NA,NA
2025-08-19T16:00:00.000Z,4208.3999023438,4272.1499023438,4190.5600585938,4271.3999023438,246500,0.0,0.0,000300.SS,NA,NA,NA
2025-08-20T16:00:00.000Z,4284.3701171875,4308.4501953125,4273.6499023438,4288.0698242188,259000,0.0,0.0,000300.SS,NA,NA,NA
2025-08-21T16:00:00.000Z,4287.3598632812,4378.3901367188,4287.3598632812,4378.0,290400,0.0,0.0,000300.SS,NA,NA,NA
2025-08-24T16:00:00.000Z,4416.2900390625,4472.6499023438,4404.7797851562,4469.2202148438,358100,0.0,0.0,000300.SS,NA,NA,NA
2025-08-25T16:00:00.000Z,4453.3500976562,4476.7998046875,4435.5297851562,4452.58984375,270600,0.0,0.0,000300.SS,NA,NA,NA
2025-08-26T16:00:00.000Z,4458.83984375,4494.91015625,4386.1298828125,4386.1298828125,333100,0.0,0.0,000300.SS,NA,NA,NA
2025-08-27T16:00:00.000Z,4378.0400390625,4464.7998046875,4364.169921875,4463.7797851562,296800,0.0,0.0,000300.SS,NA,NA,NA
2025-08-28T16:00:00.000Z,4455.7998046875,4516.83984375,4452.3598632812,4496.759765625,351900,0.0,0.0,000300.SS,NA,NA,NA
2025-08-31T16:00:00.000Z,4516.8798828125,4528.1298828125,4487.5297851562,4523.7099609375,320400,0.0,0.0,000300.SS,NA,NA,NA
2025-09-01T16:00:00.000Z,4521.9799804688,4548.8901367188,4454.419921875,4490.4501953125,303900,0.0,0.0,000300.SS,NA,NA,NA
2025-09-02T16:00:00.000Z,4501.33984375,4510.7299804688,4427.5200195312,4459.830078125,254300,0.0,0.0,000300.SS,NA,NA,NA
2025-09-03T16:00:00.000Z,4461.25,4465.5,4327.509765625,4365.2099609375,307900,0.0,0.0,000300.SS,NA,NA,NA
2025-09-04T16:00:00.000Z,4365.6098632812,4466.5600585938,4350.2998046875,4460.330078125,249600,0.0,0.0,000300.SS,NA,NA,NA
2025-09-07T16:00:00.000Z,4467.169921875,4482.759765625,4438.0698242188,4467.5698242188,267600,0.0,0.0,000300.SS,NA,NA,NA
2025-09-08T16:00:00.000Z,4448.740234375,4472.08984375,4412.6899414062,4436.259765625,221400,0.0,0.0,000300.SS,NA,NA,NA
2025-09-09T16:00:00.000Z,4438.2998046875,4466.6298828125,4414.58984375,4445.3701171875,203600,0.0,0.0,000300.SS,NA,NA,NA
2025-09-10T16:00:00.000Z,4438.83984375,4548.0400390625,4427.919921875,4548.0400390625,253300,0.0,0.0,000300.SS,NA,NA,NA
2025-09-11T16:00:00.000Z,4544.58984375,4564.669921875,4517.7900390625,4522.0,266400,0.0,0.0,000300.SS,NA,NA,NA
2025-09-14T16:00:00.000Z,4534.8901367188,4566.91015625,4522.5,4533.0600585938,231900,0.0,0.0,000300.SS,NA,NA,NA
2025-09-15T16:00:00.000Z,4539.919921875,4552.419921875,4494.7900390625,4523.33984375,249300,0.0,0.0,000300.SS,NA,NA,NA
2025-09-16T16:00:00.000Z,4517.2900390625,4556.0297851562,4503.7998046875,4551.0200195312,235700,0.0,0.0,000300.SS,NA,NA,NA
2025-09-17T16:00:00.000Z,4546.0297851562,4573.830078125,4454.990234375,4498.1098632812,309900,0.0,0.0,000300.SS,NA,NA,NA
2025-09-18T16:00:00.000Z,4499.08984375,4533.08984375,4491.83984375,4501.919921875,225000,0.0,0.0,000300.SS,NA,NA,NA
2025-09-21T16:00:00.000Z,4512.0200195312,4523.8701171875,4487.1298828125,4522.6098632812,196500,0.0,0.0,000300.SS,NA,NA,NA
2025-09-22T16:00:00.000Z,4536.759765625,4560.7299804688,4459.7299804688,4519.7797851562,252800,0.0,0.0,000300.SS,NA,NA,NA
2025-09-23T16:00:00.000Z,4495.2700195312,4567.5,4494.1098632812,4566.0698242188,220500,0.0,0.0,000300.SS,NA,NA,NA
2025-09-24T16:00:00.000Z,4563.9799804688,4613.9501953125,4558.83984375,4593.490234375,229800,0.0,0.0,000300.SS,NA,NA,NA
2025-09-25T16:00:00.000Z,4576.91015625,4597.8500976562,4550.0498046875,4550.0498046875,208500,0.0,0.0,000300.SS,NA,NA,NA
2025-09-28T16:00:00.000Z,4555.0297851562,4647.5698242188,4541.4301757812,4620.0498046875,274400,0.0,0.0,000300.SS,NA,NA,NA
2025-09-29T16:00:00.000Z,4629.8999023438,4647.5,4616.2202148438,4640.6899414062,248000,0.0,0.0,000300.SS,NA,NA,NA
2025-10-08T16:00:00.000Z,4662.1098632812,4726.3500976562,4651.990234375,4709.4799804688,347700,0.0,0.0,000300.SS,NA,NA,NA
2025-10-09T16:00:00.000Z,4679.5,4692.58984375,4600.9702148438,4616.830078125,319000,0.0,0.0,000300.SS,NA,NA,NA
2025-10-12T16:00:00.000Z,4490.8701171875,4601.8100585938,4490.8701171875,4593.9799804688,315000,0.0,0.0,000300.SS,NA,NA,NA
2025-10-13T16:00:00.000Z,4634.0498046875,4641.4501953125,4520.9301757812,4539.0600585938,373000,0.0,0.0,000300.SS,NA,NA,NA
2025-10-14T16:00:00.000Z,4544.240234375,4608.8198242188,4526.830078125,4606.2900390625,284800,0.0,0.0,000300.SS,NA,NA,NA
2025-10-15T16:00:00.000Z,4588.919921875,4645.1000976562,4586.2797851562,4618.419921875,248200,0.0,0.0,000300.SS,NA,NA,NA
2025-10-16T16:00:00.000Z,4610.7001953125,4618.5600585938,4509.330078125,4514.2299804688,256900,0.0,0.0,000300.SS,NA,NA,NA
2025-10-19T16:00:00.000Z,4558.240234375,4570.4399414062,4520.5,4538.2202148438,218400,0.0,0.0,000300.SS,NA,NA,NA
2025-10-20T16:00:00.000Z,4556.1201171875,4615.4599609375,4547.9301757812,4607.8701171875,215700,0.0,0.0,000300.SS,NA,NA,NA
2025-10-21T16:00:00.000Z,4576.0297851562,4603.490234375,4567.240234375,4592.5698242188,185300,0.0,0.0,000300.SS,NA,NA,NA
2025-10-22T16:00:00.000Z,4578.7001953125,4611.33984375,4541.6899414062,4606.3500976562,200500,0.0,0.0,000300.SS,NA,NA,NA
2025-10-23T16:00:00.000Z,4622.7900390625,4660.6801757812,4622.7900390625,4660.6801757812,208800,0.0,0.0,000300.SS,NA,NA,NA
2025-10-26T16:00:00.000Z,4699.3798828125,4720.4301757812,4687.6899414062,4716.0200195312,262200,0.0,0.0,000300.SS,NA,NA,NA
2025-10-27T16:00:00.000Z,4697.7299804688,4734.3198242188,4679.2299804688,4691.9702148438,220900,0.0,0.0,000300.SS,NA,NA,NA
2025-10-28T16:00:00.000Z,4701.0400390625,4747.83984375,4697.2700195312,4747.83984375,246200,0.0,0.0,000300.SS,NA,NA,NA
2025-10-29T16:00:00.000Z,4735.9799804688,4761.830078125,4706.4501953125,4709.91015625,273300,0.0,0.0,000300.SS,NA,NA,NA
2025-10-30T16:00:00.000Z,4702.5,4706.1401367188,4640.669921875,4640.669921875,281500,0.0,0.0,000300.SS,NA,NA,NA
2025-11-02T16:00:00.000Z,4636.7299804688,4653.3999023438,4595.7299804688,4653.3999023438,239900,0.0,0.0,000300.SS,NA,NA,NA
2025-11-03T16:00:00.000Z,4649.3500976562,4665.3198242188,4595.0698242188,4618.7001953125,233200,0.0,0.0,000300.SS,NA,NA,NA
2025-11-04T16:00:00.000Z,4562.1098632812,4642.6098632812,4558.7700195312,4627.259765625,203000,0.0,0.0,000300.SS,NA,NA,NA
2025-11-05T16:00:00.000Z,4642.009765625,4698.08984375,4642.009765625,4693.3999023438,224200,0.0,0.0,000300.SS,NA,NA,NA
2025-11-06T16:00:00.000Z,4673.759765625,4701.3798828125,4666.0400390625,4678.7900390625,212500,0.0,0.0,000300.SS,NA,NA,NA
2025-11-09T16:00:00.000Z,4688.1201171875,4695.1801757812,4654.2099609375,4695.0498046875,236000,0.0,0.0,000300.SS,NA,NA,NA
2025-11-10T16:00:00.000Z,4706.33984375,4707.1298828125,4648.490234375,4652.169921875,186600,0.0,0.0,000300.SS,NA,NA,NA
2025-11-11T16:00:00.000Z,4643.5600585938,4669.6098632812,4620.990234375,4645.91015625,209500,0.0,0.0,000300.SS,NA,NA,NA
2025-11-12T16:00:00.000Z,4643.7900390625,4703.490234375,4643.7900390625,4702.0698242188,207400,0.0,0.0,000300.SS,NA,NA,NA
2025-11-13T16:00:00.000Z,4663.3198242188,4684.259765625,4628.0200195312,4628.1401367188,192100,0.0,0.0,000300.SS,NA,NA,NA
2025-11-16T16:00:00.000Z,4616.8100585938,4624.8999023438,4580.259765625,4598.0498046875,189000,0.0,0.0,000300.SS,NA,NA,NA
2025-11-17T16:00:00.000Z,4584.7900390625,4606.6201171875,4552.7998046875,4568.1899414062,177700,0.0,0.0,000300.SS,NA,NA,NA
2025-11-18T16:00:00.000Z,4568.0400390625,4607.8598632812,4568.0400390625,4588.2900390625,172900,0.0,0.0,000300.SS,NA,NA,NA
2025-11-19T16:00:00.000Z,4619.5400390625,4620.6499023438,4560.1801757812,4564.9501953125,194600,0.0,0.0,000300.SS,NA,NA,NA
2025-11-20T16:00:00.000Z,4513.3901367188,4527.0400390625,4453.1801757812,4453.6098632812,222900,0.0,0.0,000300.SS,NA,NA,NA
2025-11-23T16:00:00.000Z,4473.16015625,4478.8100585938,4421.8100585938,4448.0498046875,185800,0.0,0.0,000300.SS,NA,NA,NA
2025-11-24T16:00:00.000Z,4475.83984375,4510.7700195312,4467.3500976562,4490.41015625,169600,0.0,0.0,000300.SS,NA,NA,NA
2025-11-25T16:00:00.000Z,4490.2001953125,4538.1401367188,4485.7001953125,4517.6298828125,156200,0.0,0.0,000300.SS,NA,NA,NA
2025-11-26T16:00:00.000Z,4520.009765625,4559.2202148438,4509.8598632812,4515.3999023438,150300,0.0,0.0,000300.SS,NA,NA,NA
2025-11-27T16:00:00.000Z,4511.5,4531.7202148438,4492.4301757812,4526.66015625,142900,0.0,0.0,000300.SS,NA,NA,NA
2025-11-30T16:00:00.000Z,4539.1899414062,4576.9702148438,4531.2900390625,4576.490234375,200400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-01T16:00:00.000Z,4571.91015625,4575.5,4539.4301757812,4554.330078125,148500,0.0,0.0,000300.SS,NA,NA,NA
2025-12-02T16:00:00.000Z,4554.58984375,4569.8198242188,4523.5,4531.0498046875,169800,0.0,0.0,000300.SS,NA,NA,NA
2025-12-03T16:00:00.000Z,4533.6000976562,4557.419921875,4514.1899414062,4546.5698242188,147200,0.0,0.0,000300.SS,NA,NA,NA
2025-12-04T16:00:00.000Z,4547.91015625,4593.830078125,4535.0200195312,4584.5400390625,196800,0.0,0.0,000300.SS,NA,NA,NA
2025-12-07T16:00:00.000Z,4593.1401367188,4640.6298828125,4592.740234375,4621.75,199600,0.0,0.0,000300.SS,NA,NA,NA
2025-12-08T16:00:00.000Z,4611.3798828125,4628.7099609375,4584.25,4598.2202148438,184200,0.0,0.0,000300.SS,NA,NA,NA
2025-12-09T16:00:00.000Z,4586.25,4598.5400390625,4549.080078125,4591.830078125,169100,0.0,0.0,000300.SS,NA,NA,NA
2025-12-10T16:00:00.000Z,4597.1899414062,4610.2797851562,4547.1401367188,4552.1899414062,168400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-11T16:00:00.000Z,4558.740234375,4583.6801757812,4530.7797851562,4580.9501953125,212800,0.0,0.0,000300.SS,NA,NA,NA
2025-12-14T16:00:00.000Z,4550.0,4595.0498046875,4548.4399414062,4552.0600585938,167600,0.0,0.0,000300.SS,NA,NA,NA
2025-12-15T16:00:00.000Z,4542.419921875,4553.080078125,4484.2700195312,4497.5600585938,165200,0.0,0.0,000300.SS,NA,NA,NA
2025-12-16T16:00:00.000Z,4499.7700195312,4594.66015625,4498.9301757812,4579.8798828125,178400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-17T16:00:00.000Z,4553.9799804688,4571.9702148438,4544.1401367188,4552.7900390625,151700,0.0,0.0,000300.SS,NA,NA,NA
2025-12-18T16:00:00.000Z,4561.3701171875,4591.08984375,4546.8500976562,4568.1801757812,154900,0.0,0.0,000300.SS,NA,NA,NA
2025-12-21T16:00:00.000Z,4587.669921875,4615.8701171875,4587.669921875,4611.6201171875,165300,0.0,0.0,000300.SS,NA,NA,NA
2025-12-22T16:00:00.000Z,4616.0297851562,4644.5400390625,4607.7998046875,4620.7299804688,169300,0.0,0.0,000300.SS,NA,NA,NA
2025-12-23T16:00:00.000Z,4623.6801757812,4639.4301757812,4602.1499023438,4634.0600585938,153700,0.0,0.0,000300.SS,NA,NA,NA
2025-12-24T16:00:00.000Z,4629.3198242188,4651.1499023438,4621.919921875,4642.5400390625,139400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-25T16:00:00.000Z,4639.7900390625,4676.1298828125,4635.1098632812,4657.240234375,175400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-28T16:00:00.000Z,4658.2700195312,4672.0400390625,4629.0600585938,4639.3701171875,200400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-29T16:00:00.000Z,4617.3198242188,4664.330078125,4616.6298828125,4651.2797851562,180400,0.0,0.0,000300.SS,NA,NA,NA
2025-12-30T16:00:00.000Z,4656.4799804688,4667.0498046875,4622.1000976562,4629.9399414062,170800,0.0,0.0,000300.SS,NA,NA,NA
2026-01-04T16:00:00.000Z,4661.6201171875,4721.6401367188,4661.6201171875,4717.75,234100,0.0,0.0,000300.SS,NA,NA,NA
2026-01-05T16:00:00.000Z,4719.2099609375,4790.6899414062,4718.009765625,4790.6899414062,297000,0.0,0.0,000300.SS,NA,NA,NA
2026-01-06T16:00:00.000Z,4796.9301757812,4802.6000976562,4751.0698242188,4776.669921875,259100,0.0,0.0,000300.SS,NA,NA,NA
2026-01-07T16:00:00.000Z,4761.009765625,4765.490234375,4717.009765625,4737.6499023438,238800,0.0,0.0,000300.SS,NA,NA,NA
2026-01-08T16:00:00.000Z,4725.9599609375,4771.4301757812,4719.1298828125,4758.919921875,254700,0.0,0.0,000300.SS,NA,NA,NA
2026-01-11T16:00:00.000Z,4769.6499023438,4795.9301757812,4737.5698242188,4789.919921875,294800,0.0,0.0,000300.SS,NA,NA,NA
2026-01-12T16:00:00.000Z,4798.0498046875,4836.9599609375,4745.5200195312,4761.0297851562,301400,0.0,0.0,000300.SS,NA,NA,NA
2026-01-13T16:00:00.000Z,4767.7001953125,4818.1000976562,4720.25,4741.9301757812,365000,0.0,0.0,000300.SS,NA,NA,NA
2026-01-14T16:00:00.000Z,4721.7998046875,4769.5498046875,4720.9399414062,4751.4301757812,254000,0.0,0.0,000300.SS,NA,NA,NA
2026-01-15T16:00:00.000Z,4778.4301757812,4792.5498046875,4715.3701171875,4731.8701171875,325300,0.0,0.0,000300.SS,NA,NA,NA
2026-01-18T16:00:00.000Z,4720.1899414062,4761.6298828125,4715.08984375,4734.4599609375,267600,0.0,0.0,000300.SS,NA,NA,NA
2026-01-19T16:00:00.000Z,4736.91015625,4748.2299804688,4684.9702148438,4718.8798828125,282700,0.0,0.0,000300.SS,NA,NA,NA
2026-01-20T16:00:00.000Z,4714.5498046875,4758.2797851562,4714.240234375,4723.0698242188,266400,0.0,0.0,000300.SS,NA,NA,NA
2026-01-21T16:00:00.000Z,4741.759765625,4757.759765625,4700.4501953125,4723.7099609375,274200,0.0,0.0,000300.SS,NA,NA,NA
2026-01-22T16:00:00.000Z,4729.58984375,4734.7900390625,4684.6201171875,4702.5,314600,0.0,0.0,000300.SS,NA,NA,NA
2026-01-25T16:00:00.000Z,4715.3798828125,4754.1801757812,4693.16015625,4706.9599609375,363000,0.0,0.0,000300.SS,NA,NA,NA
2026-01-26T16:00:00.000Z,4705.169921875,4736.990234375,4675.6401367188,4705.6899414062,301500,0.0,0.0,000300.SS,NA,NA,NA
2026-01-27T16:00:00.000Z,4725.6000976562,4739.6298828125,4697.91015625,4717.990234375,382300,0.0,0.0,000300.SS,NA,NA,NA
2026-01-28T16:00:00.000Z,4733.08984375,4770.9599609375,4696.0498046875,4753.8701171875,415500,0.0,0.0,000300.SS,NA,NA,NA
2026-01-29T16:00:00.000Z,4723.080078125,4738.8701171875,4645.4702148438,4706.33984375,319800,0.0,0.0,000300.SS,NA,NA,NA
2026-02-01T16:00:00.000Z,4674.2797851562,4716.6098632812,4601.759765625,4605.9799804688,304800,0.0,0.0,000300.SS,NA,NA,NA
2026-02-02T16:00:00.000Z,4648.3598632812,4662.1298828125,4578.2099609375,4660.1098632812,265500,0.0,0.0,000300.SS,NA,NA,NA
2026-02-03T16:00:00.000Z,4647.9702148438,4701.4799804688,4641.83984375,4698.6801757812,264900,0.0,0.0,000300.SS,NA,NA,NA
2026-02-04T16:00:00.000Z,4664.75,4687.0200195312,4639.4301757812,4670.419921875,237900,0.0,0.0,000300.SS,NA,NA,NA
2026-02-05T16:00:00.000Z,4622.9799804688,4678.259765625,4606.6401367188,4643.6000976562,202700,0.0,0.0,000300.SS,NA,NA,NA
2026-02-08T16:00:00.000Z,4693.669921875,4719.9599609375,4679.8999023438,4719.0600585938,207300,0.0,0.0,000300.SS,NA,NA,NA
2026-02-09T16:00:00.000Z,4718.259765625,4732.08984375,4713.8701171875,4724.2998046875,187000,0.0,0.0,000300.SS,NA,NA,NA
2026-02-10T16:00:00.000Z,4715.669921875,4723.7001953125,4703.6899414062,4713.8198242188,173400,0.0,0.0,000300.SS,NA,NA,NA
2026-02-11T16:00:00.000Z,4720.009765625,4726.0400390625,4707.740234375,4719.580078125,197800,0.0,0.0,000300.SS,NA,NA,NA
2026-02-12T16:00:00.000Z,4693.41015625,4703.6298828125,4658.3999023438,4660.41015625,189200,0.0,0.0,000300.SS,NA,NA,NA
2026-02-23T16:00:00.000Z,4727.2998046875,4727.3701171875,4698.3500976562,4707.5400390625,218500,0.0,0.0,000300.SS,NA,NA,NA
2026-02-24T16:00:00.000Z,4713.580078125,4766.5600585938,4713.33984375,4735.8901367188,284300,0.0,0.0,000300.SS,NA,NA,NA
2026-02-25T16:00:00.000Z,4741.3901367188,4742.1499023438,4706.6899414062,4726.8701171875,234800,0.0,0.0,000300.SS,NA,NA,NA
2026-02-26T16:00:00.000Z,4698.2998046875,4721.009765625,4692.8901367188,4710.6499023438,261400,0.0,0.0,000300.SS,NA,NA,NA
2026-03-01T16:00:00.000Z,4681.009765625,4735.41015625,4667.2797851562,4728.669921875,349300,0.0,0.0,000300.SS,NA,NA,NA
2026-03-02T16:00:00.000Z,4737.3198242188,4744.6000976562,4651.41015625,4655.8999023438,370600,0.0,0.0,000300.SS,NA,NA,NA
2026-03-03T16:00:00.000Z,4609.1899414062,4639.419921875,4575.830078125,4602.6298828125,303000,0.0,0.0,000300.SS,NA,NA,NA
2026-03-04T16:00:00.000Z,4651.9399414062,4671.5297851562,4630.2998046875,4647.6899414062,259300,0.0,0.0,000300.SS,NA,NA,NA
2026-03-05T16:00:00.000Z,4621.490234375,4671.7099609375,4612.7900390625,4660.4399414062,238500,0.0,0.0,000300.SS,NA,NA,NA
2026-03-08T16:00:00.000Z,4600.25,4625.9799804688,4548.9702148438,4615.4599609375,322800,0.0,0.0,000300.SS,NA,NA,NA
2026-03-09T16:00:00.000Z,4648.7900390625,4677.6000976562,4648.7900390625,4674.759765625,263900,0.0,0.0,000300.SS,NA,NA,NA
2026-03-10T16:00:00.000Z,4681.0297851562,4711.8701171875,4674.7099609375,4704.5,270200,0.0,0.0,000300.SS,NA,NA,NA
2026-03-11T16:00:00.000Z,4700.7202148438,4704.3798828125,4654.3198242188,4687.5600585938,303000,0.0,0.0,000300.SS,NA,NA,NA
2026-03-12T16:00:00.000Z,4669.0600585938,4707.419921875,4659.5,4669.1401367188,310800,0.0,0.0,000300.SS,NA,NA,NA
2026-03-15T16:00:00.000Z,4669.2202148438,4673.6899414062,4621.8100585938,4671.5600585938,296200,0.0,0.0,000300.SS,NA,NA,NA
2026-03-16T16:00:00.000Z,4685.5698242188,4720.8598632812,4637.3701171875,4637.4399414062,263000,0.0,0.0,000300.SS,NA,NA,NA
