vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,东鹏饮料、盐津铺子、巴比食品 2026年一季度营业收入同比增速,1,业绩快报,,,"|股票名称|股票代码|报告期|统计口径|营业收入（万元）|营业收入同比（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|基本每股收益（元/股）|基本每股收益同比（%）|净资产收益率ROE（%）|净资产收益率ROE同比（%）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|盐津铺子|002847|2023-12-31|累计值|411517.54|42.22|58240.8|70.77|57282.64|72.1|50521.53|67.57|2.65|66.67|34.95|31.54|
|盐津铺子|002847|2022-12-31|累计值|289352.05|26.83|34021.6|100.38|33200.69|98.64|30126.87|99.86|2.39|97.52|26.55|53.78|
|盐津铺子|002847|2021-12-31|累计值|228155.57|16.47|16778.05|-39.67|16528.16|-39.61|15016.53|-37.89|1.21|-37.63|17.21|-38.87|
|盐津铺子|002847|2020-12-31|累计值|195885.15|39.99|27711.12|101.11|27290.15|96.27|24160.13|88.7|1.94|88.35|28.14|69.95|
|盐津铺子|002847|2019-12-31|累计值|139927.5|26.34|13778.99|82.92|13904.39|84.51|12803.65|81.58|1.03|80.71|16.44|49.43|
|盐津铺子|002847|2018-12-31|累计值|110755.39|46.81|7532.77|-9.99|7535.85|-17.29|7051.33|7.27|0.57|5.56|11.00|-0.39|
|盐津铺子|002847|2017-12-31|累计值|75441.64|10.38|4667.98|-41.8|9151.67|-12.89|6652.08|-22.34|0.55|-40.22|11.16|-60.30|
|盐津铺子|002847|2016-12-31|累计值|68348.43|17.09|8021.01|36.71|10505.29|30.99|8565.65|30.89|0.92|31.42|28.12|6.97|
|巴比食品|605338|2025-12-31|累计值|185905.0|11.22|32970.05|-6.49|35222.53|-3.84|27299.89|-1.3|1.14|1.79|11.68|-4.34|
|巴比食品|605338|2024-12-31|累计值|167142.4|2.53|35235.27|39.67|36642.76|29.9|27705.58|29.64|1.11|29.07|12.20|25.68|
|巴比食品|605338|2023-12-31|累计值|163023.33|6.89|25278.84|-9.63|28428.53|-1.98|21520.5|-3.19|0.85|-5.56|9.76|-9.23|
|巴比食品|605338|2022-12-31|累计值|152514.14|10.88|27916.73|-30.48|28940.67|-30.78|22223.5|-29.21|0.9|-29.13|10.76|-34.61|
|巴比食品|605338|2021-12-31|累计值|137544.62|41.06|40149.42|96.83|41803.58|79.18|31435.57|79.15|1.27|45.98|16.47|53.37|
|东鹏饮料|605499|2022-12-31|累计值|850149.88|21.84|185452.7|21.33|183627.0|21.32|144188.07|20.87|3.6|15.76|28.46|1.12|
|东鹏饮料|605499|2021-12-31|累计值|697782.25|40.72|152855.73|45.54|151351.68|47.01|119296.04|46.9|3.11|37.96|28.15|-33.68|",2026-08-15T21:32:50.955256+08:00
gildata,FinQuery,东鹏饮料、盐津铺子、巴比食品 2026年一季度营业收入同比增速,2,港股财务分析,,,"|股票名称|股票代码|财务分析指标代码|财务分析指标名称|报告期|报告期类型|财政年结日|核算方式|财务分析指标数额|财务分析指标单位|币种|报告类型|报表名称|
|---|---|---|---|---|---|---|---|---|---|---|---|---|
|东鹏饮料|09980|OperatingRevenueYOY|营业收入同比增长率|2026-06-30|半年报|2026-12-31|累计值|15.87|%|人民币元|合并报表|成长能力|
|东鹏饮料|09980|TORGrowRate|营业总收入同比增长率|2026-06-30|半年报|2026-12-31|累计值|15.87|%|人民币元|合并报表|成长能力|
|东鹏饮料|09980|OperatingRevenueYOY|营业收入同比增长率|2026-03-31|一季报|2026-12-31|累计值|21.46|%|人民币元|合并报表|成长能力|
|东鹏饮料|09980|TORGrowRate|营业总收入同比增长率|2026-03-31|一季报|2026-12-31|累计值|21.46|%|人民币元|合并报表|成长能力|",2026-08-15T21:32:50.955256+08:00
gildata,FinQuery,东鹏饮料、盐津铺子、巴比食品 2026年一季度营业收入同比增速,3,财务分析,,,"|股票名称|股票代码|财务分析指标名称|财务分析指标代码|指标类型|核算方式|时间|报告期|财务分析指标数额|展示单位|报表名称|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|盐津铺子|002847|营业总收入-同比增长率|CFI0000000AB|区间类型|累计值|2026-03-31|一季报|2.9385|%|成长能力|
|盐津铺子|002847|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2026-03-31|一季报|2.9385|%|成长能力|
|巴比食品|605338|营业总收入-同比增长率|CFI0000000AB|区间类型|累计值|2026-03-31|一季报|2.823|%|成长能力|
|巴比食品|605338|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2026-03-31|一季报|2.823|%|成长能力|
|东鹏饮料|605499|营业总收入-同比增长率|CFI0000000AB|区间类型|累计值|2026-03-31|一季报|21.4555|%|成长能力|
|东鹏饮料|605499|营业收入-同比增长率|CFI00000001K|区间类型|累计值|2026-03-31|一季报|21.4555|%|成长能力|",2026-08-15T21:32:50.955256+08:00
