vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,益生股份2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|益生股份|002458|2026-08-15|2026|363337.5|23.07|248575.0|-9.36|31.52|75325.0|338.2|73414.29|357.48|75371.43|365.9|75500.0|356.41|116528.67|79229.5|0.62|16.09|11.98|13.34|16.96|2.5|3.09|11.08|11.08|
|益生股份|002458|2026-08-15|2027|401815.0|10.59|271715.33|9.31|32.23|88928.0|18.06|86481.5|17.8|89471.43|18.71|88513.11|17.24|132915.0|97581.5|0.72|17.42|12.95|15.38|14.22|2.32|2.92|11.08|11.08|
|益生股份|002458|2026-08-15|2028|420942.13|15.85|294072.0|18.3|29.95|85206.38|13.12|85864.43|16.96|83628.57|10.96|84647.88|12.12|116110.0|67913.0|0.65|15.69|11.68|13.43|14.86|2.12|2.87|11.08|11.08|",2026-08-16T09:31:22.751345+08:00
gildata,FinQuery,圣农发展2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|圣农发展|002299|2026-08-15|2026|2194828.57|9.23|1886583.33|-1.16|13.95|146000.0|-2.81|141150.0|-1.81|132866.67|-4.22|128490.91|-6.89|310132.67|173681.0|1.02|10.89|6.23|8.54|17.13|1.86|1.1|21.42|21.3|
|圣农发展|002299|2026-08-15|2027|2390597.78|8.92|2019236.63|7.03|15.39|197642.75|35.37|193142.75|36.84|184757.14|39.05|174043.17|35.45|374035.33|227164.0|1.35|13.6|7.47|10.76|13.13|1.72|1.01|21.42|21.3|
|圣农发展|002299|2026-08-15|2028|2625075.38|19.6|2219316.25|17.64|15.45|221359.58|51.62|217201.36|53.88|204009.09|53.54|204486.92|59.15|403030.5|231325.5|1.6|14.23|7.9|11.26|11.7|1.59|0.96|21.42|21.3|",2026-08-16T09:31:50.856256+08:00
gildata,FinQuery,中炬高新2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中炬高新|600872|2026-08-15|2026|492845.28|17.35|299374.33|-17.16|39.22|84036.8|27.21|83450.33|28.62|70467.6|30.86|69515.41|29.44|112284.13|75100.0|0.9|11.14|8.38|11.49|21.96|2.49|3.04|24.85|24.5|
|中炬高新|600872|2026-08-15|2027|542141.83|10.0|328410.07|9.7|39.56|96635.6|14.99|96029.13|15.07|80688.53|14.5|79592.91|14.5|125822.5|87800.0|1.03|11.96|9.07|12.81|19.14|2.29|2.76|24.85|24.5|
|中炬高新|600872|2026-08-15|2028|592035.0|20.13|354990.83|18.58|40.09|110284.56|31.23|110023.65|31.84|92149.11|30.77|91091.52|31.04|139336.89|108366.67|1.17|12.81|9.62|13.12|17.08|2.16|2.59|24.85|24.5|",2026-08-16T09:31:55.411939+08:00
