vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,燕京啤酒2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|燕京啤酒|000729|2026-08-15|2026|1614227.48|5.28|886804.76|-32.59|45.05|280890.48|18.8|280947.62|18.56|237952.38|18.52|201051.24|19.74|351018.18|286900.0|0.71|12.29|8.51|15.36|17.4|2.06|2.23|15.48|15.41|
|燕京啤酒|000729|2026-08-15|2027|1689464.56|4.66|914271.43|3.1|45.9|319423.81|13.72|320009.52|13.9|271057.14|13.91|231898.92|15.34|395000.0|331300.0|0.82|12.93|8.95|17.23|15.09|1.9|2.13|15.48|15.41|
|燕京啤酒|000729|2026-08-15|2028|1763181.2|9.23|941408.7|6.16|46.57|356721.74|27.0|356913.04|27.04|303063.64|27.36|260503.72|29.57|433491.67|367700.0|0.92|13.34|9.18|19.61|13.41|1.77|2.06|15.48|15.41|",2026-08-16T09:32:17.031696+08:00
gildata,FinQuery,青松股份2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|诺斯贝尔|300132|2026-08-15|2026|254529.8|14.69|201649.5|-1.81|20.79|21361.5|14.6|20737.5|16.25|17644.75|18.53|18027.0|17.65|34021.67|-|0.35|10.89|7.59|19.7|18.42|1.93|1.23|10.57|10.57|
|诺斯贝尔|300132|2026-08-15|2027|289724.4|13.83|228612.5|13.37|21.15|26584.0|24.45|25934.75|25.06|22018.75|24.79|22475.75|24.68|39313.67|-|0.43|11.98|8.18|25.44|14.79|1.71|1.07|10.57|10.57|
|诺斯贝尔|300132|2026-08-15|2028|323205.6|26.98|253929.8|25.93|21.41|30886.4|44.59|30427.2|46.73|25924.4|46.92|26262.29|45.68|44263.5|-|0.51|12.34|9.05|24.79|13.0|1.65|0.93|10.57|10.57|",2026-08-16T09:32:41.515812+08:00
gildata,FinQuery,佳禾食品2026年一致预测归属母公司净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|佳禾食品|605300|2026-08-15|2026|237400.0|5.23|200700.0|-10.68|15.5|8800.0|152.35|9000.0|145.68|8500.0|146.11|7600.0|146.78|-|-|0.17|2.6|-|3.1|65.5|1.7|-|11.1|11.1|
|佳禾食品|605300|2026-08-15|2027|253300.0|6.7|214100.0|6.68|15.5|9900.0|12.5|10100.0|12.22|9500.0|11.76|8500.0|11.84|-|-|0.19|2.9|-|3.3|58.4|1.7|-|11.1|11.1|
|佳禾食品|605300|2026-08-15|2028|273000.0|15.0|230500.0|14.85|15.6|11500.0|30.68|11600.0|28.89|11000.0|29.41|9800.0|28.95|-|-|0.22|3.3|-|3.7|50.6|1.7|-|11.1|11.1|",2026-08-16T09:33:47.185598+08:00
