vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,老铺黄金06181.HK最新总市值,1,港股实时行情,,,"|股票名称|股票代码|交易时间|交易状态|最新价(元)|开盘价(元)|涨跌(元)|涨跌幅(%)|振幅(%)|最高价(元)|最低价(元)|均价(元)|昨收(元)|币种|每手股数(股)|总成交量(万手)|现手(手)|成交额|换手率(%)|量比|外盘(万手)|内盘(万手)|委比（%）|委差（股）|委买档位|委卖档位|总股本(亿股)|流通股(亿股)|总市值(亿元)|流通市值(亿元)|市净率|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|老铺黄金|06181|2026-08-14 16:00|交易结束|333.6|340.0|-12.8|-3.7|3.29|344.6|333.2|338.48|346.4|HKD|100|1.22|585.0|4.14亿元|0.85|0.57|0.67|0.55|-90.43|-208|买一价:333.2HKD,买一挂单量:11手|卖一价:333.6HKD,卖一挂单量:219手|1.77|1.44|589.62|478.85|4.8|",2026-08-16T09:35:50.983197+08:00
gildata,FinQuery,老铺黄金06181.HK最新总市值,2,港股价值分析,,,"|股票名称|股票代码|交易日|币种|总市值(亿元)|流通市值(亿元)|静态市盈率|滚动市盈率|市净率|静态市现率|滚动市现率|静态市销率|滚动市销率|静态股息率|滚动股息率|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|老铺黄金|06181|2026-08-14|港元|589.6197|478.8546|10.9401|10.9401|4.7999|-7.7766|-7.7766|1.9505|1.9505|7.2389|7.2389|
|老铺黄金|06181|2026-08-13|港元|612.2429|497.228|11.3598|11.3598|4.9841|-8.075|-8.075|2.0254|2.0254|6.9714|6.9714|
|老铺黄金|06181|2026-08-12|港元|634.8662|515.6013|11.7796|11.7796|5.1682|-8.3734|-8.3734|2.1002|2.1002|6.7229|6.7229|
|老铺黄金|06181|2026-08-11|港元|639.8151|519.6204|11.8714|11.8714|5.2085|-8.4386|-8.4386|2.1166|2.1166|6.6709|6.6709|
|老铺黄金|06181|2026-08-10|港元|699.2012|567.8504|12.9733|12.9733|5.692|-9.2219|-9.2219|2.313|2.313|6.1044|6.1044|
|老铺黄金|06181|2026-08-07|港元|622.1406|505.2663|11.5435|11.5435|5.0646|-8.2055|-8.2055|2.0581|2.0581|6.8605|6.8605|
|老铺黄金|06181|2026-08-06|港元|620.7267|504.118|11.5173|11.5173|5.0531|-8.1869|-8.1869|2.0534|2.0534|6.8761|6.8761|
|老铺黄金|06181|2026-08-05|港元|601.2848|488.3284|11.1565|11.1565|4.8949|-7.9304|-7.9304|1.9891|1.9891|7.0984|7.0984|
|老铺黄金|06181|2026-08-04|港元|563.4615|457.6105|10.4547|10.4547|4.587|-7.4316|-7.4316|1.864|1.864|7.5749|7.5749|
|老铺黄金|06181|2026-08-03|港元|565.5824|459.333|10.4941|10.4941|4.6042|-7.4596|-7.4596|1.871|1.871|7.5465|7.5465|
|老铺黄金|06181|2026-07-31|港元|574.0661|466.223|10.6515|10.6515|4.6733|-7.5715|-7.5715|1.8991|1.8991|7.435|7.435|
|老铺黄金|06181|2026-07-30|港元|521.3963|423.4476|9.6742|9.6742|4.2445|-6.8768|-6.8768|1.7248|1.7248|8.186|8.186|
|老铺黄金|06181|2026-07-29|港元|508.3172|412.8255|9.4316|9.4316|4.138|-6.7043|-6.7043|1.6816|1.6816|8.3967|8.3967|
|老铺黄金|06181|2026-07-28|港元|534.1219|433.7826|9.9104|9.9104|4.3481|-7.0446|-7.0446|1.7669|1.7669|7.991|7.991|
|老铺黄金|06181|2026-07-27|港元|700.6152|568.9987|12.9995|12.9995|5.7035|-9.2405|-9.2405|2.3177|2.3177|6.092|6.092|
|老铺黄金|06181|2026-07-24|港元|663.1454|538.5679|12.3043|12.3043|5.3985|-8.7463|-8.7463|2.1938|2.1938|6.4363|6.4363|
|老铺黄金|06181|2026-07-23|港元|692.8384|562.6829|12.8553|12.8553|5.6402|-9.138|-9.138|2.292|2.292|6.1604|6.1604|
|老铺黄金|06181|2026-07-22|港元|702.0292|570.1471|13.0258|13.0258|5.715|-9.2592|-9.2592|2.3224|2.3224|6.0798|6.0798|
|老铺黄金|06181|2026-07-21|港元|661.7314|537.4196|12.2781|12.2781|5.3869|-8.7277|-8.7277|2.1891|2.1891|6.45|6.45|
|老铺黄金|06181|2026-07-20|港元|645.8244|524.5009|11.9829|11.9829|5.2574|-8.5179|-8.5179|2.1365|2.1365|6.6089|6.6089|
|老铺黄金|06181|2026-07-17|港元|618.6057|502.3955|11.4779|11.4779|5.0359|-8.1589|-8.1589|2.0464|2.0464|6.8997|6.8997|
|老铺黄金|06181|2026-07-16|港元|659.964|535.9842|12.2453|12.2453|5.3726|-8.7044|-8.7044|2.1832|2.1832|6.4673|6.4673|",2026-08-16T09:35:50.983197+08:00
