vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,中炬高新最新总市值，单位亿元,1,A股实时行情,,,"|股票名称|股票代码|交易时间|交易状态|最新价(元)|开盘价(元)|涨跌(元)|涨跌幅(%)|振幅(%)|最高价(元)|最低价(元)|均价(元)|昨收(元)|总成交量(万手)|现手(手)|成交额|换手率(%)|量比|外盘(万手)|内盘(万手)|委比(%)|委差(手)|委买档位|委卖档位|涨停价(元)|跌停价(元)|总股本(亿股)|流通股(亿股)|总市值(亿元)|流通市值(亿元)|市净率|市盈率PE(LYR)|市盈率PE(TTM)|滚动股息率|市净率PB(LF)|市现率PCF(静)|市现率PCF(TTM)|市销率PS(静)|市销率PS(TTM)|股息率|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中炬高新|600872|2026-08-14 15:00|交易结束|18.77|19.02|-0.21|-1.11|2.16|19.06|18.65|18.79|18.98|11.24|1530.0|2.11亿元|1.46|0.85|5.25|5.99|-1.17|-29|买一价:18.77CNY,买一挂单量:238手;买二价:18.76CNY,买二挂单量:401手;买三价:18.75CNY,买三挂单量:527手;买四价:18.74CNY,买四挂单量:25手;买五价:18.73CNY,买五挂单量:34手|卖一价:18.78CNY,卖一挂单量:59手;卖二价:18.79CNY,卖二挂单量:20手;卖三价:18.8CNY,卖三挂单量:165手;卖四价:18.81CNY,卖四挂单量:456手;卖五价:18.82CNY,卖五挂单量:554手|20.88|17.08|7.74|7.71|145.33|144.71|2.6|27.061|23.488|2.32|2.69|22.6|16.71|3.46|3.29|2.24|",2026-08-16T09:35:13.655179+08:00
gildata,FinQuery,中炬高新最新总市值，单位亿元,2,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中炬高新|600872.SH|2026-08-14|145.33|144.71|27.06|23.49|2.45|2.69|22.6|16.72|3.46|3.29|2.24|2.33|52.38|152.16|140.32|16.36|
|中炬高新|600872.SH|2026-08-13|146.96|146.33|27.36|23.75|2.47|2.72|22.85|16.9|3.5|3.33|2.21|2.31|52.97|153.79|141.94|16.55|
|中炬高新|600872.SH|2026-08-12|149.05|148.42|27.75|24.09|2.51|2.76|23.18|17.14|3.55|3.37|2.18|2.28|53.72|155.88|144.03|16.79|
|中炬高新|600872.SH|2026-08-11|149.83|149.19|27.9|24.21|2.52|2.77|23.3|17.23|3.57|3.39|2.17|2.26|54|156.65|144.81|16.88|
|中炬高新|600872.SH|2026-08-10|151.45|150.81|28.2|24.48|2.55|2.8|23.55|17.42|3.61|3.43|2.15|2.24|54.59|158.28|146.43|17.07|
|中炬高新|600872.SH|2026-08-07|149.05|148.42|27.75|24.09|2.51|2.76|23.18|17.14|3.55|3.37|2.18|2.28|53.72|155.88|144.03|16.79|
|中炬高新|600872.SH|2026-08-06|149.13|148.49|27.77|24.1|2.51|2.76|23.19|17.15|3.55|3.37|2.18|2.27|53.75|155.96|144.11|16.8|
|中炬高新|600872.SH|2026-08-05|152.69|152.04|28.43|24.68|2.57|2.83|23.74|17.56|3.64|3.46|2.13|2.22|55.03|159.52|147.67|17.21|
|中炬高新|600872.SH|2026-08-04|153.54|152.89|28.59|24.81|2.58|2.84|23.88|17.66|3.66|3.47|2.12|2.21|55.34|160.37|148.52|17.31|
|中炬高新|600872.SH|2026-08-03|156.33|155.66|29.11|25.27|2.63|2.89|24.31|17.98|3.72|3.54|2.08|2.17|56.34|163.16|151.31|17.64|
|中炬高新|600872.SH|2026-07-31|157.26|156.59|29.28|25.42|2.65|2.91|24.46|18.09|3.74|3.56|2.07|2.16|56.68|164.09|152.24|17.75|
|中炬高新|600872.SH|2026-07-30|153.93|153.27|28.66|24.88|2.59|2.85|23.94|17.7|3.67|3.48|2.11|2.2|55.48|160.76|148.91|17.36|
|中炬高新|600872.SH|2026-07-29|152.54|151.88|28.4|24.65|2.57|2.82|23.72|17.54|3.63|3.45|2.13|2.22|54.98|159.36|147.52|17.2|
|中炬高新|600872.SH|2026-07-28|147.97|147.34|27.55|23.91|2.49|2.74|23.01|17.02|3.52|3.35|2.2|2.29|53.33|154.79|142.95|16.66|
|中炬高新|600872.SH|2026-07-27|144.02|143.4|26.82|23.28|2.42|2.66|22.4|16.56|3.43|3.26|2.26|2.35|51.91|150.85|139|16.2|
|中炬高新|600872.SH|2026-07-24|142.24|141.63|26.48|22.99|2.39|2.63|22.12|16.36|3.39|3.22|2.29|2.38|51.27|149.06|137.22|16|
|中炬高新|600872.SH|2026-07-23|144.95|144.33|26.99|23.43|2.44|2.68|22.54|16.67|3.45|3.28|2.25|2.34|52.24|151.77|139.93|16.31|
|中炬高新|600872.SH|2026-07-22|145.88|145.25|27.16|23.58|2.46|2.7|22.69|16.78|3.47|3.3|2.23|2.32|52.58|152.7|140.86|16.42|
|中炬高新|600872.SH|2026-07-21|147.5|146.87|27.46|23.84|2.48|2.73|22.94|16.96|3.51|3.34|2.21|2.3|53.16|154.33|142.48|16.61|
|中炬高新|600872.SH|2026-07-20|145.1|144.48|27.02|23.45|2.44|2.67|22.56|16.69|3.45|3.28|2.24|2.34|52.3|151.93|140.08|16.33|
|中炬高新|600872.SH|2026-07-17|142.47|141.86|26.53|23.03|2.4|2.62|22.16|16.39|3.39|3.22|2.28|2.38|51.35|149.3|137.45|16.02|
|中炬高新|600872.SH|2026-07-16|145.03|144.41|27|23.44|2.44|2.67|22.55|16.68|3.45|3.28|2.24|2.34|52.27|151.85|140.01|16.32|",2026-08-16T09:35:13.655179+08:00
