Date,Dividends,Stock Splits
2011-08-23T16:00:00.000Z,0.276134,1.3
2012-05-06T16:00:00.000Z,0.358975,1.3
2013-05-27T16:00:00.000Z,0.466667,0.0
2014-06-09T16:00:00.000Z,0.333333,0.0
2015-05-27T16:00:00.000Z,0.466667,1.5
2016-05-22T16:00:00.000Z,0.5,0.0
2017-05-23T16:00:00.000Z,0.4,0.0
2018-05-29T16:00:00.000Z,0.35,0.0
2019-05-30T16:00:00.000Z,0.5,0.0
2020-06-10T16:00:00.000Z,0.7,0.0
2021-06-10T16:00:00.000Z,0.8,0.0
2022-06-21T16:00:00.000Z,0.85,0.0
2023-06-19T16:00:00.000Z,1.0,0.0
2024-06-13T16:00:00.000Z,1.0,0.0
2025-01-16T16:00:00.000Z,0.3,0.0
2025-06-19T16:00:00.000Z,1.0,0.0
2026-06-14T16:00:00.000Z,1.0,0.0
