vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,创新药指数、恒生创新药指数2026年年初至今涨跌幅,1,指数日行情,,,"|指数名称|指数代码|交易日|收盘价(点)|昨收盘(点)|今开盘(点)|最高价(点)|最低价(点)|涨跌(点)|涨跌幅(%)|成交量(万股)|成交额(亿元)|指数市值(亿元)|
|创新药30|931440|2026-07-07|2889.49|3028.18|2990.27|2990.27|2880.27|-138.69|-4.58|77863.13|394.71|6132.9|
|创新药|980086|2026-07-07|2195.73|2298.78|2277.39|2278.31|2186.62|-103.05|-4.48|110651.72|418.99||
|CS创新药|931152|2026-07-06|1965.03|1945.15|1923.13|2044.85|1913.17|19.88|1.02|178593.33|788.08|10385.67|
|创新药30|931440|2026-07-06|3028.18|3009.66|2972.89|3180.07|2954.11|18.52|0.62|107567.28|569.79|6427.27|
|创新药|980086|2026-07-06|2298.78|2259.97|2250.66|2385.48|2240.29|38.81|1.72|178511.6|628.59||
|CS创新药|931152|2026-07-03|1945.15|1892.97|1909.38|1948.1|1868.12|52.18|2.76|132160.23|578.0|10280.61|
|创新药30|931440|2026-07-03|3009.66|2908.38|2934.46|3012.26|2876.81|101.28|3.48|75638.3|408.89|6387.95|
|创新药|980086|2026-07-03|2259.97|2166.15|2200.05|2264.36|2180.04|93.82|4.33|137927.15|473.49||
|CS创新药|931152|2026-07-02|1892.97|1893.03|1882.06|1935.92|1869.01|-0.06|0.0|139297.0|624.36|10004.81|
|创新药30|931440|2026-07-02|2908.38|2902.32|2885.62|2980.51|2863.81|6.06|0.21|83678.11|450.0|6172.99|
|创新药|980086|2026-07-02|2166.15|2086.48|2130.5|2199.02|2130.36|79.67|3.82|140992.24|497.35||
|CS创新药|931152|2026-07-01|1893.03|1811.85|1796.22|1893.94|1746.42|81.18|4.48|159155.83|683.21|10005.12|
|创新药30|931440|2026-07-01|2902.32|2765.88|2742.6|2904.09|2656.68|136.44|4.93|91704.1|488.67|6160.12|
|创新药|980086|2026-07-01|2086.48|2029.23|2024.31|2089.24|2001.57|57.25|2.82|84164.73|384.02||
|CS创新药|931152|2026-06-30|1811.85|1839.89|1829.98|1836.66|1797.44|-28.04|-1.52|117634.6|500.32|9576.06|
|创新药30|931440|2026-06-30|2765.88|2794.06|2792.59|2805.5|2742.05|-28.18|-1.01|65166.49|356.68|5870.54|
|创新药|980086|2026-06-30|2029.23|2063.92|2058.17|2073.21|2014.17|-34.69|-1.68|117438.25|354.72||
|CS创新药|931152|2026-06-29|1839.89|1701.38|1698.12|1844.53|1681.92|138.51|8.14|157203.39|634.37|9724.26|
|创新药30|931440|2026-06-29|2794.06|2562.35|2564.56|2798.87|2542.32|231.71|9.04|84584.56|433.12|5930.36|
|创新药|980086|2026-06-29|2063.92|1904.94|1911.63|2098.64|1902.73|158.98|8.35|146062.61|454.83||
|CS创新药|931152|2026-06-26|1701.38|1755.24|1755.05|1768.88|1701.38|-53.86|-3.07|91308.25|359.8|8992.19|
|创新药30|931440|2026-06-26|2562.35|2642.66|2646.3|2670.08|2562.3|-80.31|-3.04|45837.02|237.93|5438.54|
|创新药|980086|2026-06-26|1904.94|1953.47|1952.76|1970.09|1899.37|-48.53|-2.48|79144.16|219.03||
|CS创新药|931152|2026-06-25|1755.24|1739.05|1720.46|1767.4|1691.46|16.19|0.93|107596.58|432.65|9276.86|
|创新药30|931440|2026-06-25|2642.66|2623.27|2593.9|2657.83|2549.75|19.39|0.74|56347.53|293.47|5609.01|
|创新药|980086|2026-06-25|1953.47|1966.53|1955.17|1982.89|1904.44|-13.06|-0.66|92590.46|271.57||
|CS创新药|931152|2026-06-24|1739.05|1695.89|1700.47|1770.03|1698.93|43.16|2.55|117175.84|482.7|9191.29|
|创新药30|931440|2026-06-24|2623.27|2537.94|2545.64|2667.74|2544.03|85.33|3.36|64681.25|340.89|5567.86|
|创新药|980086|2026-06-24|1966.53|1944.68|1950.93|2020.62|1948.82|21.85|1.12|102187.17|313.41||
|CS创新药|931152|2026-06-23|1695.89|1671.97|1667.56|1727.0|1667.41|23.92|1.43|105974.11|377.17|8963.16|
|创新药30|931440|2026-06-23|2537.94|2511.34|2505.37|2593.4|2505.18|26.6|1.06|53928.68|242.34|5386.73|
|创新药|980086|2026-06-23|1944.68|1919.87|1922.15|1995.5|1921.06|24.81|1.29|90163.53|269.41||
|CS创新药|931152|2026-06-22|1671.97|1658.23|1646.7|1672.77|1608.3|13.74|0.83|95963.47|336.59|8836.75|
|创新药30|931440|2026-06-22|2511.34|2475.86|2466.13|2512.39|2411.71|35.48|1.43|46646.91|210.04|5330.28|
|创新药|980086|2026-06-22|1919.87|1938.92|1930.84|1930.89|1861.77|-19.05|-0.98|84377.54|231.9||
|CS创新药|931152|2026-06-18|1658.23|1616.08|1611.71|1685.42|1601.99|42.15|2.61|85630.04|329.81|8764.13|
|创新药30|931440|2026-06-18|2475.86|2409.98|2403.83|2520.68|2389.28|65.88|2.73|46618.11|217.83|5254.97|
|创新药|980086|2026-06-18|1938.92|1907.54|1899.04|1975.94|1886.68|31.38|1.65|92941.73|256.58||
|CS创新药|931152|2026-06-17|1616.08|1626.67|1622.92|1627.03|1609.63|-10.59|-0.65|57619.18|185.18|8541.38|
|创新药30|931440|2026-06-17|2409.98|2425.76|2421.54|2427.38|2399.28|-15.78|-0.65|27103.42|115.88|5115.15|
|创新药|980086|2026-06-17|1907.54|1935.52|1931.87|1945.27|1902.68|-27.98|-1.45|67185.3|147.46||
|CS创新药|931152|2026-06-16|1626.67|1653.2|1645.8|1645.93|1622.56|-26.53|-1.6|62898.67|199.34|8597.35|
|创新药30|931440|2026-06-16|2425.76|2469.65|2458.91|2458.91|2419.84|-43.89|-1.78|29645.02|122.11|5148.63|
|创新药|980086|2026-06-16|1935.52|1972.61|1972.6|1972.63|1920.91|-37.09|-1.88|67027.24|166.96||
|CS创新药|931152|2026-06-15|1653.2|1663.38|1658.03|1663.24|1643.33|-10.18|-0.61|71372.96|243.29|8737.55|
|创新药30|931440|2026-06-15|2469.65|2495.62|2488.58|2493.68|2455.59|-25.97|-1.04|35443.72|153.79|5241.79|
|创新药|980086|2026-06-15|1972.61|1977.15|1986.5|2000.78|1970.52|-4.54|-0.23|71457.76|191.51||
|CS创新药|931152|2026-06-12|1663.38|1624.63|1631.29|1665.1|1609.49|38.75|2.39|90125.95|326.83|8821.91|
|创新药30|931440|2026-06-12|2495.62|2431.41|2440.87|2504.94|2407.07|64.21|2.64|44937.74|220.23|5401.35|
|创新药|980086|2026-06-12|1977.15|1919.25|1934.88|1984.66|1909.05|57.9|3.02|99468.08|281.32||
|CS创新药|931152|2026-06-11|1624.63|1633.09|1619.91|1633.91|1608.84|-8.46|-0.52|57563.56|200.35|8616.39|
|创新药30|931440|2026-06-11|2431.41|2434.21|2414.58|2441.3|2400.71|-2.8|-0.12|28164.99|126.97|5262.37|
|创新药|980086|2026-06-11|1919.25|1933.72|1921.72|1929.04|1887.01|-14.47|-0.75|65264.92|175.62||
|CS创新药|931152|2026-06-10|1633.09|1605.04|1596.59|1633.09|1596.22|28.05|1.75|64240.33|228.09|8661.24|
|创新药30|931440|2026-06-10|2434.21|2382.43|2367.67|2435.93|2367.32|51.78|2.17|34937.63|165.83|5268.45|
|创新药|980086|2026-06-10|1933.72|1897.96|1892.42|1939.12|1879.17|35.76|1.88|78845.9|193.2||
|CS创新药|931152|2026-06-09|1605.04|1600.66|1600.0|1612.8|1573.87|4.38|0.27|60210.43|237.08|8512.51|
|创新药30|931440|2026-06-09|2382.43|2372.69|2372.42|2391.96|2323.95|9.74|0.41|34350.11|176.86|5156.37|
|创新药|980086|2026-06-09|1897.96|1896.0|1902.7|1929.07|1860.15|1.96|0.1|76946.27|185.45||
|CS创新药|931152|2026-06-08|1600.66|1639.7|1620.12|1641.68|1583.35|-39.04|-2.38|65183.71|223.15|8489.28|
|创新药30|931440|2026-06-08|2372.69|2427.72|2399.08|2435.93|2346.87|-55.03|-2.27|36186.29|155.36|5135.29|
|创新药|980086|2026-06-08|1896.0|1942.94|1913.1|1938.84|1873.89|-46.94|-2.42|80561.54|205.38||
|CS创新药|931152|2026-06-05|1639.7|1640.02|1659.52|1674.09|1635.46|-0.32|-0.02|64159.92|238.19|8696.33|
|创新药30|931440|2026-06-05|2427.72|2433.91|2466.85|2494.42|2422.21|-6.19|-0.25|39007.9|173.43|5254.39|
|创新药|980086|2026-06-05|1942.94|1961.79|1986.94|2006.46|1938.37|-18.85|-0.96|84583.75|245.96||
|CS创新药|931152|2026-06-04|1640.02|1658.01|1653.81|1664.78|1632.39|-17.99|-1.08|58718.59|199.25|8698.04|
|创新药30|931440|2026-06-04|2433.91|2461.19|2452.97|2475.18|2421.64|-27.28|-1.11|30543.19|137.09|5267.79|
|创新药|980086|2026-06-04|1961.79|1987.47|1988.37|2009.06|1949.92|-25.68|-1.29|85040.49|191.29||
|CS创新药|931152|2026-06-03|1658.01|1687.66|1680.85|1681.17|1653.63|-29.65|-1.76|63700.2|225.19|8793.4|
|创新药30|931440|2026-06-03|2461.19|2504.42|2492.38|2495.39|2453.03|-43.23|-1.73|35382.39|158.29|5326.83|
|创新药|980086|2026-06-03|1987.47|2036.66|2027.55|2027.55|1976.37|-49.19|-2.42|85798.22|226.56||
|CS创新药|931152|2026-06-02|1687.66|1714.24|1710.78|1710.78|1677.26|-26.58|-1.55|62579.32|231.68|8950.69|
|创新药30|931440|2026-06-02|2504.42|2545.08|2539.79|2539.84|2476.96|-40.66|-1.6|33947.16|164.32|5420.39|
|创新药|980086|2026-06-02|2036.66|2099.12|2083.93|2083.96|2026.23|-62.46|-2.98|77451.58|242.77||
|CS创新药|931152|2026-06-01|1714.24|1733.66|1737.13|1772.84|1706.79|-19.42|-1.12|78495.57|320.96|9091.67|
|创新药30|931440|2026-06-01|2545.08|2597.97|2611.03|2672.11|2534.39|-52.89|-2.04|46797.9|241.72|5508.41|
|创新药|980086|2026-06-01|2099.12|2135.99|2177.03|2207.29|2078.6|-36.87|-1.73|108612.23|358.05||
|CS创新药|931152|2026-05-29|1733.66|1701.3|1702.38|1756.02|1690.64|32.36|1.9|89156.01|347.14|9194.62|
|创新药30|931440|2026-05-29|2597.97|2542.43|2547.31|2633.76|2518.63|55.54|2.18|52457.62|260.8|5622.88|
|创新药|980086|2026-05-29|2135.99|2048.53|2069.2|2160.02|2040.08|87.46|4.27|135320.26|364.06||
|CS创新药|931152|2026-05-28|1701.3|1740.14|1736.75|1745.23|1692.29|-38.84|-2.23|65870.15|237.93|9023.03|
|创新药30|931440|2026-05-28|2542.43|2609.15|2604.47|2621.68|2531.83|-66.72|-2.56|36297.49|170.54|5502.67|
|创新药|980086|2026-05-28|2048.53|2125.54|2127.34|2138.37|2043.8|-77.01|-3.62|95432.94|231.6||
|CS创新药|931152|2026-05-27|1740.14|1747.79|1740.5|1752.51|1709.95|-7.65|-0.44|77618.8|269.97|9229.03|
|创新药30|931440|2026-05-27|2609.15|2614.53|2603.92|2630.52|2560.15|-5.38|-0.21|37994.64|178.67|5647.06|
|创新药|980086|2026-05-27|2125.54|2136.25|2136.0|2143.64|2087.0|-10.71|-0.5|96346.15|234.13||
|CS创新药|931152|2026-05-26|1747.79|1753.75|1748.28|1758.64|1731.18|-5.96|-0.34|69789.89|244.43|9269.57|
|创新药30|931440|2026-05-26|2614.53|2609.07|2599.57|2634.28|2577.86|5.46|0.21|33495.72|160.64|5658.72|
|创新药|980086|2026-05-26|2136.25|2167.14|2164.73|2168.9|2122.83|-30.89|-1.43|76772.51|207.24||
|CS创新药|931152|2026-05-25|1753.75|1774.19|1767.61|1773.26|1737.75|-20.44|-1.15|72225.89|250.62|9301.18|
|创新药30|931440|2026-05-25|2609.07|2650.26|2636.43|2641.84|2584.04|-41.19|-1.55|35475.67|168.53|5646.9|
|创新药|980086|2026-05-25|2167.14|2183.78|2179.61|2180.53|2157.48|-16.64|-0.76|42894.83|159.33||
|CS创新药|931152|2026-05-22|1774.19|1800.56|1809.81|1812.53|1769.09|-26.37|-1.46|76031.24|281.11|9409.6|
|创新药30|931440|2026-05-22|2650.26|2679.86|2704.19|2706.84|2636.14|-29.6|-1.1|40191.85|188.12|5736.05|
|创新药|980086|2026-05-22|2183.78|2207.94|2223.79|2230.94|2180.63|-24.16|-1.09|70221.18|223.63||
|CS创新药|931152|2026-05-21|1800.56|1785.25|1787.65|1840.44|1787.64|15.31|0.86|93542.38|371.56|9549.45|
|创新药30|931440|2026-05-21|2679.86|2643.59|2647.82|2752.74|2647.82|36.27|1.37|52758.21|267.07|5800.11|
|创新药|980086|2026-05-21|2207.94|2180.07|2194.24|2253.33|2191.68|27.87|1.28|86102.08|296.4||
|CS创新药|931152|2026-05-20|1785.25|1786.76|1783.72|1802.22|1766.68|-1.51|-0.08|68095.61|242.76|9468.27|
|创新药30|931440|2026-05-20|2643.59|2637.56|2632.72|2671.64|2609.33|6.03|0.23|35101.02|166.92|5721.61|
|创新药|980086|2026-05-20|2180.07|2176.15|2181.18|2197.66|2154.13|3.92|0.18|73788.18|215.36||
|CS创新药|931152|2026-05-19|1786.76|1779.7|1780.4|1803.22|1773.16|7.06|0.4|62411.24|222.04|9476.24|
|创新药30|931440|2026-05-19|2637.56|2628.16|2630.38|2669.19|2617.08|9.4|0.36|32436.58|151.53|5708.55|
|创新药|980086|2026-05-19|2176.15|2184.36|2186.85|2215.97|2162.05|-8.21|-0.38|74059.18|208.26||
|CS创新药|931152|2026-05-18|1779.7|1816.41|1810.85|1811.04|1770.68|-36.71|-2.02|69664.58|241.14|9438.81|
|创新药30|931440|2026-05-18|2628.16|2687.66|2676.4|2676.4|2614.7|-59.5|-2.21|35411.73|162.85|5688.22|
|创新药|980086|2026-05-18|2184.36|2246.22|2240.44|2241.59|2174.13|-61.86|-2.75|78437.79|221.32||
|CS创新药|931152|2026-05-15|1816.41|1832.12|1833.43|1852.66|1807.2|-15.71|-0.86|79468.65|287.32|9633.5|
|创新药30|931440|2026-05-15|2687.66|2711.42|2715.59|2746.28|2673.93|-23.76|-0.88|38113.15|185.39|5816.99|
|创新药|980086|2026-05-15|2246.22|2281.12|2270.61|2273.22|2222.95|-34.9|-1.53|83722.88|240.4||
|CS创新药|931152|2026-05-14|1832.12|1888.2|1889.77|1903.18|1832.12|-56.08|-2.97|89304.89|328.88|9716.84|
|创新药30|931440|2026-05-14|2711.42|2806.49|2811.42|2836.75|2711.42|-95.07|-3.39|43263.98|226.72|5868.42|
|创新药|980086|2026-05-14|2281.12|2326.98|2338.09|2352.76|2269.35|-45.86|-1.97|90964.52|273.32||
|CS创新药|931152|2026-05-13|1888.2|1912.01|1909.08|1912.4|1877.99|-23.81|-1.25|91906.52|351.14|10014.26|
|创新药30|931440|2026-05-13|2806.49|2848.92|2851.18|2852.57|2794.57|-42.43|-1.49|47869.44|237.04|6074.19|
|创新药|980086|2026-05-13|2326.98|2368.62|2372.49|2376.51|2320.9|-41.64|-1.76|95896.99|284.96||
|CS创新药|931152|2026-05-12|1912.01|1921.96|1909.33|1957.25|1892.96|-9.95|-0.52|132065.66|521.5|10140.55|
|创新药30|931440|2026-05-12|2848.92|2840.18|2822.09|2930.92|2799.31|8.74|0.31|71935.42|384.88|6166.01|
|创新药|980086|2026-05-12|2368.62|2377.85|2380.01|2422.62|2347.55|-9.23|-0.39|131247.21|423.38||
|CS创新药|931152|2026-05-11|1921.96|1879.93|1878.61|1927.91|1859.52|42.03|2.24|139731.84|458.39|10193.33|
|创新药30|931440|2026-05-11|2840.18|2791.22|2782.03|2852.32|2751.83|48.96|1.75|57443.45|279.72|6147.09|
|创新药|980086|2026-05-11|2377.85|2351.04|2344.98|2396.58|2307.08|26.81|1.14|122165.86|352.52||
|CS创新药|931152|2026-05-08|1879.93|1913.72|1913.69|1914.18|1877.48|-33.79|-1.77|79319.88|297.23|9970.41|
|创新药30|931440|2026-05-08|2791.22|2858.66|2856.76|2858.31|2788.65|-67.44|-2.36|38339.73|198.8|6041.12|
|创新药|980086|2026-05-08|2351.04|2392.05|2386.85|2392.32|2339.69|-41.01|-1.71|71582.09|231.74||
|CS创新药|931152|2026-05-07|1913.72|1902.12|1909.2|1925.08|1899.65|11.6|0.61|76370.92|299.62|10149.6|
|创新药30|931440|2026-05-07|2858.66|2833.17|2846.83|2881.67|2837.22|25.49|0.9|37658.84|198.38|6187.08|
|创新药|980086|2026-05-07|2392.05|2366.1|2385.74|2416.49|2372.33|25.95|1.1|73608.71|231.98||
|CS创新药|931152|2026-05-06|1902.12|1900.87|1905.81|1914.62|1896.49|1.25|0.07|91746.38|350.43|10088.1|
|创新药30|931440|2026-05-06|2833.17|2837.21|2836.62|2847.91|2816.38|-4.04|-0.14|42597.89|220.94|6131.92|
|创新药|980086|2026-05-06|2366.1|2362.14|2360.45|2371.23|2340.91|3.96|0.17|81537.08|252.84||
|创新药|980086|2026-05-05|2362.14|2374.0|2368.93|2368.97|2340.28|-11.86|-0.5|8514.38|15.87||
|创新药|980086|2026-05-04|2374.0|2380.89|2369.17|2381.16|2341.68|-6.89|-0.29|13788.45|35.92||
|CS创新药|931152|2026-04-30|1900.87|1904.98|1902.48|1923.84|1884.6|-4.11|-0.22|83429.39|322.62|10081.45|
|创新药30|931440|2026-04-30|2837.21|2843.65|2842.21|2875.83|2805.26|-6.44|-0.23|43192.64|220.18|6140.67|
|创新药|980086|2026-04-30|2380.89|2371.11|2370.92|2419.44|2360.96|9.78|0.41|79697.01|243.82||
|CS创新药|931152|2026-04-29|1904.98|1907.79|1903.31|1915.79|1891.37|-2.81|-0.15|88559.16|373.4|10103.27|
|创新药30|931440|2026-04-29|2843.65|2845.34|2849.8|2871.25|2827.2|-1.69|-0.06|42376.34|260.73|6154.6|
|创新药|980086|2026-04-29|2371.11|2383.0|2396.26|2396.26|2364.61|-11.89|-0.5|68085.22|211.78||
|CS创新药|931152|2026-04-28|1907.79|1881.43|1910.0|1944.27|1903.73|26.36|1.4|99898.27|360.34|10118.14|
|创新药30|931440|2026-04-28|2845.34|2814.9|2871.61|2919.47|2841.12|30.44|1.08|44109.08|230.34|6158.26|
|创新药|980086|2026-04-28|2383.0|2404.71|2401.71|2463.96|2372.71|-21.71|-0.9|89867.7|256.15||
|CS创新药|931152|2026-04-27|1881.43|1881.97|1877.54|1887.65|1865.73|-0.54|-0.03|69691.21|243.18|9978.36|
|创新药30|931440|2026-04-27|2814.9|2815.32|2814.67|2832.27|2791.17|-0.42|-0.01|36033.4|165.75|6092.39|
|创新药|980086|2026-04-27|2404.71|2421.92|2418.65|2420.58|2385.74|-17.21|-0.71|55868.58|185.32||
|CS创新药|931152|2026-04-24|1881.97|1887.96|1878.75|1898.82|1859.17|-5.99|-0.32|76409.84|265.22|9981.23|
|创新药30|931440|2026-04-24|2815.32|2817.62|2806.34|2844.96|2776.49|-2.3|-0.08|33339.86|167.3|6093.3|
|创新药|980086|2026-04-24|2421.92|2422.25|2412.81|2446.58|2362.51|-0.33|-0.01|72186.73|221.26||
|CS创新药|931152|2026-04-23|1887.96|1908.81|1909.22|1917.49|1878.8|-20.85|-1.09|76434.95|303.22|10012.99|
|创新药30|931440|2026-04-23|2817.62|2856.34|2856.39|2873.27|2802.49|-38.72|-1.36|38757.59|203.23|6098.27|
|创新药|980086|2026-04-23|2422.25|2495.61|2495.79|2495.81|2408.33|-73.36|-2.94|97205.96|326.99||
|CS创新药|931152|2026-04-22|1908.81|1894.64|1888.89|1909.33|1884.86|14.17|0.75|62566.16|221.67|10123.56|
|创新药30|931440|2026-04-22|2856.34|2824.78|2818.47|2857.5|2812.45|31.56|1.12|32175.72|153.07|6182.06|
|创新药|980086|2026-04-22|2495.61|2499.19|2491.43|2513.74|2479.47|-3.58|-0.14|68715.71|207.86||
|CS创新药|931152|2026-04-21|1894.64|1917.77|1915.5|1931.33|1890.06|-23.13|-1.21|61164.3|222.6|10048.41|
|创新药30|931440|2026-04-21|2824.78|2868.49|2865.28|2886.23|2817.5|-43.71|-1.52|30570.34|149.18|6113.77|
|创新药|980086|2026-04-21|2499.19|2525.07|2520.84|2536.15|2487.73|-25.88|-1.02|63976.35|191.86||
|CS创新药|931152|2026-04-20|1917.77|1929.07|1926.19|1937.19|1912.65|-11.3|-0.59|72266.6|262.71|10171.1|
