vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,创新药指数、恒生创新药指数2026年年初至今涨跌幅,1,指数日行情,,,"|指数名称|指数代码|交易日|收盘价(点)|昨收盘(点)|今开盘(点)|最高价(点)|最低价(点)|涨跌(点)|涨跌幅(%)|成交量(万股)|成交额(亿元)|指数市值(亿元)|
|恒生创新药|HSIDI|2026-03-09|2657.34|2693.51|2631.35|2666.53|2559.75|-36.17|-1.34||115.11||
|恒生创新药|HSIDI|2026-03-06|2693.51|2574.46|2563.42|2696.55|2561.56|119.05|4.62||107.12||
|恒生创新药|HSIDI|2026-03-05|2574.46|2499.89|2558.56|2629.51|2540.55|74.57|2.98||79.12||
|恒生创新药|HSIDI|2026-03-04|2499.89|2551.58|2535.89|2551.23|2457.27|-51.69|-2.03||80.73||
|恒生创新药|HSIDI|2026-03-03|2551.58|2652.17|2654.6|2665.81|2532.84|-100.59|-3.79||70.56||
|恒生创新药|HSIDI|2026-03-02|2652.17|2748.38|2700.62|2702.32|2625.48|-96.21|-3.5||69.55||
|恒生创新药|HSIDI|2026-02-27|2748.38|2705.0|2708.12|2770.94|2697.12|43.38|1.6||82.1||
|恒生创新药|HSIDI|2026-02-26|2705.0|2836.57|2843.61|2844.32|2699.42|-131.57|-4.64||71.67||
|恒生创新药|HSIDI|2026-02-25|2836.57|2844.17|2853.03|2873.4|2828.12|-7.6|-0.27||49.31||
|恒生创新药|HSIDI|2026-02-24|2844.17|2946.77|2947.3|2947.3|2822.44|-102.6|-3.48||72.68||
|恒生创新药|HSIDI|2026-02-23|2946.77|2914.07|2918.01|2989.85|2918.01|32.7|1.12||27.72||
|恒生创新药|HSIDI|2026-02-20|2914.07|2864.81|2876.73|2928.29|2875.71|49.26|1.72||31.6||
|恒生创新药|HSIDI|2026-02-16|2864.81|2869.75|2880.54|2888.23|2828.39|-4.94|-0.17||11.02||
|恒生创新药|HSIDI|2026-02-13|2869.75|2861.05|2852.37|2871.57|2837.37|8.7|0.3||42.36||
|恒生创新药|HSIDI|2026-02-12|2861.05|2927.65|2921.81|2936.08|2857.05|-66.6|-2.27||47.74||
|恒生创新药|HSIDI|2026-02-11|2927.65|2921.47|2940.11|2969.14|2921.82|6.18|0.21||52.49||
